기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,거래비율
20250321,67630,HLB생명과학,KOSDAQ,투자주의환기종목(소속부없음),5990,-2560,-29.94,5990,6480,5990,8262361,503.1,7301,121891691,0.068908369
20250321,1570,금양,KOSPI,,9900,-480,-4.62,10610,10630,9790,4142543,417.5,6333,63967196,0.065924522
20250321,5010,휴스틸,KOSPI,,6000,-50,-0.83,6100,6160,5695,3533501,208.1,3371,56188075,0.061732424
20250321,60230,소니드,KOSDAQ,중견기업부,723,39,5.7,679,744,670,1839103,13,398,54999547,0.032663317
20250321,115450,HLB테라퓨틱스,KOSDAQ,중견기업부,6910,-550,-7.37,5240,7000,5230,5679628,351.7,5814,84132321,0.060491916
20250321,89010,켐트로닉스,KOSDAQ,우량기업부,28150,-150,-0.53,27800,28550,27500,921326,259.1,4317,15334346,0.060018531
20250321,108490,로보티즈,KOSDAQ,기술성장기업부,32100,-1200,-3.6,33300,33850,31800,751837,243.5,4240,13207510,0.057429245
20250321,272210,한화시스템,KOSPI,,36400,-2400,-6.19,35900,37450,35050,9912453,3589.9,68767,188919389,0.052203819
20250321,206560,덱스터,KOSDAQ,기술성장기업부,6490,340,5.53,6050,6520,6050,238220,15.1,1649,25411736,0.009157065
20250321,340360,다보링크,KOSDAQ,중견기업부,1688,88,5.5,1605,1706,1548,2284193,37.3,742,43951909,0.050269542
20250321,82740,한화엔진,KOSPI,,24450,250,1.03,22750,25000,22700,4469586,1052.8,20403,83447142,0.051600255
20250321,221800,유투바이오,KOSDAQ,기술성장기업부,3540,180,5.36,3390,3855,3315,4998473,183.7,400,11287196,0.45925
20250321,419530,SAMG엔터,KOSDAQ,기술성장기업부,31700,1600,5.32,29900,32350,28900,433001,136.2,2723,8590930,0.050018362
20250321,305090,마이크로디지탈,KOSDAQ,기술성장기업부,10030,500,5.25,9560,10190,9440,171868,16.9,1669,16637660,0.010125824
20250321,98120,마이크로컨텍솔,KOSDAQ,중견기업부,10230,510,5.25,9690,10290,9600,338553,34.1,850,8312766,0.040117647
20250321,476080,M83,KOSDAQ,중견기업부,17860,880,5.18,17350,18340,17170,2251692,403,1390,7785000,0.289928058
20250321,89230,THE E&M,KOSDAQ,중견기업부,819,40,5.13,786,934,786,631694,5.4,199,24332953,0.027135678
20250321,9410,태영건설,KOSPI,,3215,-25,-0.77,3560,4080,3160,12514483,462.8,9454,294073558,0.048952824
20250321,12320,경동인베스트,KOSPI,,66500,3200,5.06,62700,68500,62500,21827,14.4,1573,2365023,0.009154482
20250321,424960,스마트레이더시스템,KOSDAQ,기술성장기업부,12090,580,5.04,11530,12100,11530,238118,28.2,1895,15677340,0.014881266
20250321,25950,동신건설,KOSDAQ,우량기업부,41150,-4150,-9.16,41400,44600,41050,374080,158,3457,8400000,0.045704368
20250321,67310,하나마이크론,KOSDAQ,우량기업부,13480,1210,9.86,12330,14150,12210,11610082,1571,8933,66271949,0.175864771
20250321,475400,씨메스,KOSDAQ,기술성장기업부,27900,-1200,-4.12,27650,28950,26650,490466,134.9,3239,11608430,0.041648657
20250321,4380,삼익THK,KOSPI,,11370,500,4.6,10800,12500,10585,4411058,527.7,2388,21000000,0.220979899
20250321,48910,대원미디어,KOSDAQ,우량기업부,10940,480,4.59,10460,10970,10440,118570,12.9,1376,12578946,0.009375
20250321,489790,한화비전,KOSPI,,53700,-2400,-4.28,53600,54600,52800,2060926,1106.8,27112,50488390,0.040823252
20250321,890,보해양조,KOSPI,,462,20,4.52,445,480,440,1917734,8.9,643,139120129,0.013841369
20250321,79940,가비아,KOSDAQ,우량기업부,18020,770,4.46,17200,18050,17000,200909,35.6,2439,13535684,0.014596146
