기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수
20250508,223310,딥마인드,KOSDAQ,중견기업부,2835,30,1.07,2835,2890,2795,33741,1.0,647.0,22839375,685.0,94.5
20250508,317120,라닉스,KOSDAQ,기술성장기업부,2355,20,0.86,2385,2400,2330,19337,0.5,227.0,9660000,295.0,76.9
20250508,462510,라메디텍,KOSDAQ,기술성장기업부,8650,660,8.26,8000,8700,7970,155666,13.1,759.0,8770965,787.0,96.4
20250508,042510,라온시큐어,KOSDAQ,벤처기업부,9560,-360,-3.63,9920,10200,9500,93061,9.0,1071.0,11205174,1117.0,95.9
20250508,232680,라온테크,KOSDAQ,기술성장기업부,8270,180,2.22,8090,8370,8090,65758,5.4,1037.0,12534234,1218.0,85.1
20250508,418420,라온텍,KOSDAQ,기술성장기업부,3035,-15,-0.49,3090,3090,2990,81883,2.5,921.0,30337558,925.0,99.6
20250508,300120,라온피플,KOSDAQ,벤처기업부,4470,200,4.68,4305,4480,4275,149547,6.6,932.0,20860012,1033.0,90.2
20250508,171120,라이온켐텍,KOSDAQ,중견기업부,2330,20,0.87,2310,2330,2300,12569,0.3,837.0,35901760,892.0,93.8
20250508,388790,라이콤,KOSDAQ,벤처기업부,2565,100,4.06,2465,2580,2465,165364,4.2,785.0,30590343,785.0,100.0
20250508,214260,라파스,KOSDAQ,기술성장기업부,19700,1480,8.12,18980,21500,18700,486213,98.6,1758.0,8922463,1768.0,99.4
20250508,171010,램테크놀러지,KOSDAQ,벤처기업부,3835,10,0.26,3845,3915,3785,64429,2.5,548.0,14298752,664.0,82.5
20250508,084650,랩지노믹스,KOSDAQ,우량기업부,2155,15,0.7,2145,2260,2145,773393,17.0,1600.0,74239990,1767.0,90.5
20250508,217500,러셀,KOSDAQ,벤처기업부,1698,10,0.59,1688,1700,1688,47079,0.8,540.0,31812000,552.0,97.8
20250508,038390,레드캡투어,KOSDAQ,우량기업부,11190,700,6.67,10560,11610,10500,295621,33.0,1871.0,16720822,1871.0,100.0
20250508,294140,레몬,KOSDAQ,중견기업부,3600,-50,-1.37,3540,3710,3540,22186,0.8,756.0,21000000,797.0,94.9
20250508,443250,레뷰코퍼레이션,KOSDAQ,벤처기업부,13300,130,0.99,13110,13380,13090,32003,4.2,1478.0,11115260,1478.0,100.0
20250508,228670,레이,KOSDAQ,벤처기업부,9230,540,6.21,8880,9320,8840,269824,24.6,1432.0,15513053,1432.0,100.0
20250508,228850,레이언스,KOSDAQ,우량기업부,6760,0,0.0,6760,6820,6690,6102,0.4,1122.0,16591014,1123.0,99.9
20250508,412350,레이저쎌,KOSDAQ,기술성장기업부,3270,35,1.08,3300,3300,3205,18592,0.6,285.0,8726972,323.0,88.2
20250508,199550,레이저옵텍,KOSDAQ,벤처기업부,10060,630,6.68,9330,10230,9330,758061,75.8,1212.0,12044791,1367.0,88.7
20250508,281740,레이크머티리얼즈,KOSDAQ,우량기업부,12880,40,0.31,12900,13050,12640,168964,21.7,8466.0,65730548,10655.0,79.5
