기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가_점수,ㄴ
20250507,9410,태영건설,KOSPI,,3015,-295,-8.91,3230,3700,2900,5102445,167.9,8866,294073558,9734,91.1,2%
20250507,484870,엠앤씨솔루션,KOSPI,,105500,2100,2.03,106500,107100,103500,49117,51.3,9657,9153900,9657,100,1%
20250507,85620,미래에셋생명,KOSPI,,5360,70,1.32,5280,5470,5170,347502,18.6,9488,177016189,9647,98.4,0%
20250507,415640,KB발해인프라,KOSPI,,7790,90,1.17,7710,7790,7640,32647,2.5,9546,122545548,9546,100,0%
20250507,108320,LX세미콘,KOSPI,,55700,1000,1.83,54800,56200,54800,28122,15.7,9059,16264300,9531,95,0%
20250507,2840,미원상사,KOSPI,,188200,-2600,-1.36,190800,191600,188200,2541,4.8,8940,4750000,9500,94.1,0%
20250507,31980,피에스케이홀딩스,KOSDAQ,우량기업부,36400,700,1.96,36050,36800,35700,154003,56.1,7849,21562395,9477,82.8,1%
20250507,83650,비에이치아이,KOSDAQ,중견기업부,30550,2050,7.19,27000,30750,26950,2064497,606.3,9454,30944375,9454,100,6%
20250507,1530,DI동일,KOSPI,,40600,-500,-1.22,40250,40950,39850,24761,10,8256,20334136,9337,88.4,0%
20250507,323280,태성,KOSDAQ,중견기업부,20500,450,2.24,20000,21500,20000,202768,41.9,6240,30440730,9315,67,1%
20250507,3540,대신증권,KOSPI,,18320,400,2.23,17920,18480,17920,128429,23.5,9302,50773400,9302,100,0%
